issue_id,timestamp,category,description,municipality,district,state,age_group,gender,origin,responsible_entity_id,responsible_entity_name,responsible_entity_level,description_length,description_words,has_verkehr_keywords,has_bildung_keywords,has_umwelt_keywords,has_gesundheit_keywords,hour,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,is_business_hours,is_morning,is_afternoon
ISS_20250613034209_7483,2023-11-12 03:54:00,Gesundheit,Die Wartezeit in der Notaufnahme des Klinikums war gestern Abend über 4 Stunden - das ist für ältere Menschen wie mich unzumutbar. Außerdem war das Personal völlig überlastet und konnte kaum auf Fragen eingehen.,Chemnitz,Stadt,Sachsen,55-64,female,citizen,LAND_04_SM,Bremen - Ministerium für Soziales,Land,211,34,False,False,False,False,3,6,12,45,11,4,True,False,False,False
ISS_20250613034253_2513,2024-12-26 06:24:00,Digitalisierung,"Das Online-Portal der Stadt funktioniert seit Tagen nicht richtig - ich kann weder einen Termin im Bürgerbüro buchen noch meinen Personalausweis verlängern. Für berufstätige Mütter wie mich ist das sehr ärgerlich, da ich nicht ständig anrufen kann.",Moringen,Stadt,Niedersachsen,35-44,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,248,37,False,False,False,False,6,3,26,52,12,4,False,False,True,False
ISS_20250613033812_4910,2023-06-04 12:10:00,Verkehr,"Die Baustelle an der B176 bei Frohburg dauert schon drei Monate und die Umleitung durch die Innenstadt ist völlig überlastet. Täglich stehe ich eine halbe Stunde im Stau, wann wird das endlich fertig?",Frohburg,Stadt,Sachsen,25-34,male,citizen,LAND_08_VM,Baden-Württemberg - Ministerium für Verkehr,Land,200,33,True,False,False,False,12,6,4,22,6,2,True,True,True,True
ISS_20250613033659_2513,2024-09-13 11:25:00,Verkehr,Die Baustelle in der Leipziger Straße dauert schon drei Monate und es gibt keine Umleitung - jeden Morgen stehe ich im Stau und komme zu spät zur Arbeit. Wann wird das endlich fertig?,Artern,Stadt,Thüringen,35-44,male,citizen,LAND_09_VM,Bayern - Ministerium für Verkehr,Land,183,33,True,False,False,False,11,4,13,37,9,3,False,True,True,False
ISS_20250613034155_1027,2024-02-20 14:58:00,Umwelt,"Die Grünschnittsammelstelle an der Münchener Straße ist völlig überfüllt und die Abfälle liegen bereits auf dem Gehweg verstreut. Das sieht nicht nur schlimm aus, sondern lockt auch Ungeziefer an und behindert die Fußgänger.",Olching,Stadt,Bayern,45-54,male,citizen,LAND_15_UM,Sachsen-Anhalt - Ministerium für Umwelt,Land,224,33,True,False,True,False,14,1,20,8,2,1,False,True,False,True
ISS_20250613034128_6078,2023-01-01 12:59:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert überhaupt nicht - ständig Fehlermeldungen und dann ist man wieder auf der Startseite. Als Rentner brauche ich einfache Lösungen, nicht diese komplizierten Internet-Sachen, die nie klappen.",Schloßvippach,Gemeinde,Thüringen,65+,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,245,32,False,False,False,False,12,6,1,52,1,1,True,True,True,True
ISS_20250613033655_3441,2024-08-08 14:42:00,Gesundheit,"Die Wartezeit in der Notaufnahme des Krankenhauses beträgt regelmäßig über vier Stunden, selbst bei akuten Beschwerden. Das Personal ist völlig überlastet und Patienten werden stundenlang ohne Information im Wartezimmer gelassen.",Torgau,Stadt,Sachsen,25-34,male,citizen,LAND_09_GM,Bayern - Ministerium für Gesundheit,Land,229,30,False,False,False,True,14,3,8,32,8,3,False,True,False,True
ISS_20250613034114_1888,2024-10-09 04:51:00,Digitalisierung,"Das neue Online-Portal der Stadt ist viel zu kompliziert für uns ältere Bürger. Ich brauche einen einfachen Weg, um meinen Personalausweis zu verlängern, ohne stundenlang vor dem Computer zu sitzen und mich durch unverständliche Menüs zu klicken.",Kirchberg an der Jagst,Stadt,Baden-Württemberg,65+,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,246,37,False,False,False,False,4,2,9,41,10,4,False,False,False,False
ISS_20250613033739_9518,2024-07-22 13:29:00,Digitalisierung,"Das Online-Portal der Gemeinde funktioniert seit Wochen nicht richtig - ich kann meinen Antrag auf Kindergeld nicht einreichen. Meine Freundin hat das gleiche Problem und wir verstehen nicht, warum die technischen Probleme nicht behoben werden.",Heek,Gemeinde,Nordrhein-Westfalen,35-44,female,migrant_non_eu,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,244,35,False,False,False,False,13,0,22,30,7,3,False,True,False,True
ISS_20250613033808_6976,2024-09-07 11:04:00,Gesundheit,"Die Wartezeit beim Hausarzt hier in Allstedt ist unmöglich - drei Wochen für einen normalen Termin! Als EU-Bürgerin verstehe ich nicht, warum die medizinische Versorgung so schlecht ist, besonders für junge Familien wie uns.",Allstedt,Stadt,Sachsen-Anhalt,25-34,female,migrant_eu,LAND_11_SM,Berlin - Ministerium für Soziales,Land,224,34,False,False,False,True,11,5,7,36,9,3,True,True,True,False
ISS_20250613034117_9338,2023-11-01 01:25:00,Migration,Die Bearbeitungszeiten für Anträge im Bürgerbüro haben sich seit Monaten extrem verlängert. Man wartet wochenlang auf einen Termin und dann nochmal ewig auf die Bearbeitung - das ist für berufstätige Menschen einfach nicht zumutbar.,Aislingen,Gemeinde,Bayern,45-54,female,citizen,LAND_13_SM,Mecklenburg-Vorpommern - Ministerium für Soziales,Land,232,34,False,False,False,False,1,2,1,44,11,4,False,False,False,False
ISS_20250613034216_1251,2023-11-27 14:22:00,Bildung,"Die Turnhalle der Grundschule ist seit drei Monaten wegen Schimmelbefall gesperrt, aber mein Sohn hat immer noch keinen Sportunterricht. Wann wird endlich eine Lösung gefunden, damit die Kinder wieder Sport machen können?",Dallgow-Döberitz,Gemeinde,Brandenburg,35-44,female,citizen,LAND_10_BM,Saarland - Ministerium für Bildung,Land,221,32,False,True,False,False,14,0,27,48,11,4,False,True,False,True
ISS_20250613034152_1172,2024-01-19 17:12:00,Wirtschaft,Die Gewerbesteuer in Schnaittach ist viel zu hoch im Vergleich zu den Nachbargemeinden. Dadurch wandern immer mehr kleine Betriebe ab und unsere Ortsmitte stirbt aus - das schadet der ganzen Gemeinde.,Schnaittach,Gemeinde,Bayern,55-64,female,citizen,LAND_14_MW,Sachsen - Ministerium für Wirtschaft,Land,200,31,False,False,False,False,17,4,19,3,1,1,False,True,False,True
ISS_20250613034117_3749,2023-07-25 10:06:00,Digitalisierung,Das Online-Portal der Stadt ist seit Tagen nicht erreichbar und ich kann meinen Wohnsitz nicht ummelden. Warum funktioniert die Digitalisierung hier so schlecht? Ich brauche dringend die Bescheinigung für meinen neuen Arbeitgeber.,Nidda,Stadt,Hessen,35-44,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,230,32,False,False,False,False,10,1,25,30,7,3,False,True,True,False
ISS_20250613034114_3779,2023-05-31 23:39:00,Umwelt,Die Mülldeponie am Ortsrand von Petersberg stinkt seit Wochen extrem und der Gestank zieht bis in die Wohnsiedlung. Besonders abends ist es unerträglich - meine Familie kann nicht mal mehr die Fenster öffnen.,Petersberg,Gemeinde,Sachsen-Anhalt,35-44,male,citizen,LAND_10_UM,Saarland - Ministerium für Umwelt,Land,208,33,False,False,True,False,23,2,31,22,5,2,False,False,False,False
ISS_20250613034152_6508,2023-01-30 01:18:00,Sicherheit,"Die Straßenbeleuchtung in der Dorfstraße ist seit Wochen kaputt, wodurch der Weg zur Bushaltestelle abends völlig dunkel ist. Als alleinstehende Frau fühle ich mich sehr unsicher und bitte um schnelle Reparatur.",Rühstädt,Gemeinde,Brandenburg,45-54,female,citizen,LAND_04_UM,Bremen - Ministerium für Umwelt,Land,211,31,True,False,False,False,1,0,30,5,1,1,False,False,False,False
ISS_20250613034130_6805,2024-04-01 09:40:00,Bildung,"Die Berufsschule hier bietet viel zu wenige Deutschkurse für EU-Ausländer an. Ich warte seit drei Monaten auf einen Platz im B2-Kurs, aber ohne besseres Deutsch finde ich keine Ausbildung.",Ebersbach-Musbach,Gemeinde,Baden-Württemberg,18-24,male,migrant_eu,LAND_06_BM,Hessen - Ministerium für Bildung,Land,188,29,False,True,False,False,9,0,1,14,4,2,False,True,True,False
ISS_20250613034244_9620,2024-11-04 11:37:00,Digitalisierung,Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - ständig Fehlermeldungen oder die Seite lädt gar nicht. Für einen einfachen Personalausweis-Antrag muss ich jetzt wieder persönlich vorbeikommen und ewig warten.,Raubach,Gemeinde,Rheinland-Pfalz,35-44,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,245,32,False,False,False,False,11,0,4,45,11,4,False,True,True,False
ISS_20250613033948_1354,2025-03-19 21:34:00,Digitalisierung,"Das Online-Portal der Stadtverwaltung ist eine Katastrophe - ständig stürzt es ab, wenn man Formulare ausfüllt, und die Anmeldung funktioniert nie beim ersten Mal. Für uns ältere Bürger ist das pure Schikane, wir brauchen einfache Lösungen!",Apolda,Stadt,Thüringen,55-64,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,240,36,False,False,False,False,21,2,19,12,3,1,False,False,False,False
ISS_20250613034248_3716,2024-12-10 17:17:00,Umwelt,"Die Mülltrennung in unserem Wohngebiet funktioniert nicht richtig - die gelben Säcke werden oft wochenlang nicht abgeholt und der Wind verteilt den Müll überall. Das sieht nicht nur schlimm aus, sondern ist auch unhygienisch für unsere Kinder.",Katlenburg-Lindau,Gemeinde,Niedersachsen,25-34,diverse,citizen,LAND_06_UM,Hessen - Ministerium für Umwelt,Land,243,37,False,False,True,False,17,1,10,50,12,4,False,True,False,True
ISS_20250613034121_7130,2024-01-09 00:32:00,Umwelt,"Die Mülleimer im Stadtpark sind seit über einer Woche überfüllt und der Müll liegt überall rum. Das sieht nicht nur eklig aus, sondern lockt auch Ungeziefer an - können Sie bitte dafür sorgen, dass die regelmäßig geleert werden?",Limbach-Oberfrohna,Stadt,Sachsen,18-24,male,citizen,LAND_07_MW,Rheinland-Pfalz - Ministerium für Wirtschaft,Land,228,38,False,False,True,False,0,1,9,2,1,1,False,False,False,False
ISS_20250613034009_6101,2024-10-05 10:22:00,Gesundheit,"Die Wartezeit beim Hausarzt in Ochsenhausen beträgt mittlerweile über drei Wochen für einen normalen Termin. Als Berufstätiger finde ich es unmöglich, dass man für eine einfache Untersuchung so lange warten muss - das kann doch nicht normal sein.",Ochsenhausen,Stadt,Baden-Württemberg,25-34,male,citizen,LAND_15_SM,Sachsen-Anhalt - Ministerium für Soziales,Land,246,38,False,False,False,True,10,5,5,40,10,4,True,True,True,False
ISS_20250613033722_1696,2023-12-17 12:18:00,Gesundheit,"Die Wartezeit beim Hausarzt in Holzkirchen ist unmöglich geworden - drei Wochen für einen normalen Termin! Für berufstätige Menschen ist das nicht machbar, wenn man krank ist braucht man schnelle Hilfe.",Holzkirchen,Gemeinde,Bayern,45-54,male,citizen,LAND_05_GM,Nordrhein-Westfalen - Ministerium für Gesundheit,Land,202,31,False,False,False,True,12,6,17,50,12,4,True,True,True,True
ISS_20250613034158_3254,2025-05-08 11:27:00,Wirtschaft,"Die Gewerbesteuer für kleine Betriebe ist viel zu hoch und macht es fast unmöglich, als Selbstständiger zu überleben. Viele von uns Kleinunternehmern können kaum noch die Miete bezahlen, weil die Gemeinde immer mehr Geld verlangt.",Oy-Mittelberg,Gemeinde,Bayern,45-54,diverse,migrant_non_eu,LAND_05_FM,Nordrhein-Westfalen - Ministerium der Finanzen,Land,230,35,False,False,False,False,11,3,8,19,5,2,False,True,True,False
ISS_20250613034208_8601,2023-07-19 23:53:00,Migration,Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits acht Monate ohne jede Rückmeldung vom Ausländeramt. Mein Mann wartet in der Türkei und wir brauchen endlich eine Antwort oder wenigstens Informationen zum aktuellen Stand.,Naumburg (Saale),Stadt,Sachsen-Anhalt,25-34,female,citizen,LAND_16_SM,Thüringen - Ministerium für Soziales,Land,245,33,False,False,False,False,23,2,19,29,7,3,False,False,False,False
ISS_20250613034212_7783,2023-11-01 06:02:00,Digitalisierung,"Die Online-Terminbuchung für den Personalausweis auf der Stadtwebsite funktioniert seit Wochen nicht. Immer wenn ich einen Termin buchen will, stürzt die Seite ab oder zeigt Fehlermeldungen an - das ist total nervig!",Güstrow,Stadt,Mecklenburg-Vorpommern,18-24,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,216,32,False,False,False,False,6,2,1,44,11,4,False,False,True,False
ISS_20250613034251_3581,2023-09-29 09:20:00,Wirtschaft,Die Gewerbesteuer für kleine Betriebe in Blankenburg ist viel zu hoch im Vergleich zu anderen Städten in der Region. Dadurch wandern Unternehmen ab und wir verlieren Arbeitsplätze - das schadet unserer ganzen Stadt.,Blankenburg (Harz),Stadt,Sachsen-Anhalt,35-44,male,citizen,LAND_03_MW,Niedersachsen - Ministerium für Wirtschaft,Land,215,33,False,False,False,False,9,4,29,39,9,3,False,True,True,False
ISS_20250613034121_1515,2024-05-26 10:39:00,Bildung,"Die Schulbusse zur Berufsschule nach Landshut fallen ständig aus oder kommen zu spät, dadurch verpasse ich regelmäßig den Unterricht. Können Sie bitte die Verbindung verbessern oder zusätzliche Busse einsetzen?",Bodenkirchen,Gemeinde,Bayern,18-24,male,citizen,LAND_15_BM,Sachsen-Anhalt - Ministerium für Bildung,Land,210,29,True,True,False,False,10,6,26,21,5,2,True,True,True,False
ISS_20250613034127_1772,2024-08-12 03:06:00,Verkehr,"Die Bushaltestelle an der Dorfstraße hat kein Wartehäuschen und bei schlechtem Wetter stehen wir im Regen. Besonders für ältere Leute und Kinder ist das ein Problem, bitte können Sie da etwas machen?",Ehrenberg (Rhön),Gemeinde,Hessen,45-54,female,migrant_non_eu,LAND_16_VM,Thüringen - Ministerium für Verkehr,Land,199,32,True,False,False,False,3,0,12,33,8,3,False,False,False,False
ISS_20250613033653_3717,2024-12-20 04:10:00,Umwelt,Die Mülltonne am Wanderparkplatz beim Waldrand quillt seit über einer Woche über und der Gestank ist unerträglich. Wildtiere wühlen nachts im Müll und verteilen alles im Wald - das kann so nicht weitergehen!,Staufenberg,Stadt,Hessen,35-44,female,citizen,LAND_03_MW,Niedersachsen - Ministerium für Wirtschaft,Land,207,33,False,False,True,False,4,4,20,51,12,4,False,False,False,False
ISS_20250613033837_8375,2025-02-15 02:03:00,Umwelt,"Der Grünschnitt und Gartenabfälle werden in unserem Ortsteil seit drei Wochen nicht mehr abgeholt. Die Container quellen über und der Gestank wird immer schlimmer, besonders bei dem warmen Wetter jetzt.",Lübstorf,Gemeinde,Mecklenburg-Vorpommern,25-34,male,citizen,LAND_04_MW,Bremen - Ministerium für Wirtschaft,Land,202,30,False,False,True,False,2,5,15,7,2,1,True,False,False,False
ISS_20250613034254_3686,2025-05-15 20:40:00,Migration,"Die Bearbeitung meines Antrags auf Familienzusammenführung für meine Schwiegertochter aus der Ukraine dauert bereits acht Monate. Ich bitte um Auskunft über den aktuellen Stand und eine Beschleunigung des Verfahrens, da die Familie getrennt lebt.",Derschen,Gemeinde,Rheinland-Pfalz,55-64,male,citizen,LAND_04_SM,Bremen - Ministerium für Soziales,Land,246,34,False,False,False,False,20,3,15,20,5,2,False,False,False,False
ISS_20250613033656_1038,2023-04-21 02:00:00,Umwelt,"Die Mülltonne am Spielplatz Lindenstraße quillt seit einer Woche über und der Gestank wird unerträglich. Meine Kinder können dort nicht mehr spielen, weil überall Abfall herumliegt und Wespen angelockt werden.",Linden,Gemeinde,Schleswig-Holstein,25-34,female,citizen,LAND_01_UM,Schleswig-Holstein - Ministerium für Umwelt,Land,209,30,True,False,True,False,2,4,21,16,4,2,False,False,False,False
ISS_20250613034015_5401,2024-03-26 06:19:00,Gesundheit,"Die Wartezeit beim Hausarzt in Karstädt beträgt mittlerweile über drei Wochen für einen normalen Termin. Für berufstätige Menschen ist das unzumutbar, besonders wenn man wegen Rückenproblemen dringend behandelt werden muss.",Karstädt,Gemeinde,Brandenburg,45-54,male,citizen,LAND_06_SM,Hessen - Ministerium für Soziales,Land,223,30,False,False,False,True,6,1,26,13,3,1,False,False,True,False
ISS_20250613034005_9084,2023-09-09 11:10:00,Gesundheit,Die Wartezeit beim Gesundheitsamt für meinen Termin zur Anerkennung meiner EU-Krankenschwester-Ausbildung beträgt bereits vier Monate. Ich kann nicht arbeiten und brauche dringend eine schnellere Bearbeitung meines Antrags.,Augsburg,Stadt,Bayern,25-34,female,migrant_eu,LAND_11_SM,Berlin - Ministerium für Soziales,Land,223,27,False,False,False,False,11,5,9,36,9,3,True,True,True,False
ISS_20250613033857_6448,2024-10-08 18:09:00,Umwelt,"Die Mülleimer im Bereich der Bushaltestelle Am Markt quellen seit Tagen über und der Abfall wird vom Wind überall hingeweht. Das sieht nicht nur eklig aus, sondern lockt auch Ungeziefer an. Wann wird endlich öfter geleert?",Oschersleben (Bode),Stadt,Sachsen-Anhalt,18-24,male,citizen,LAND_02_UM,Hamburg - Ministerium für Umwelt,Land,222,36,True,False,True,False,18,1,8,41,10,4,False,False,False,True
ISS_20250613033758_9223,2024-06-07 09:09:00,Sicherheit,"Seit Monaten ist die Straßenbeleuchtung in der Breiten Straße defekt, wodurch der Gehweg abends völlig dunkel ist. Als Frau fühle ich mich dort sehr unsicher und musste bereits mehrfach Umwege gehen.",Halberstadt,Stadt,Sachsen-Anhalt,45-54,female,citizen,LAND_07_IM,Rheinland-Pfalz - Ministerium des Innern,Land,199,31,True,False,False,False,9,4,7,23,6,2,False,True,True,False
ISS_20250613034241_4732,2024-08-09 23:27:00,Bildung,Die Schulbusse zur Berufsschule in Gifhorn fahren oft zu spät oder fallen ganz aus. Dadurch verpasse ich regelmäßig die ersten Stunden und meine Ausbildung leidet darunter. Können Sie bitte die Busverbindungen verbessern?,Meinersen,Gemeinde,Niedersachsen,18-24,male,citizen,LAND_10_BM,Saarland - Ministerium für Bildung,Land,221,32,True,True,False,False,23,4,9,32,8,3,False,False,False,False
ISS_20250613033932_7567,2025-01-19 22:43:00,Bildung,Die Heizung in der Grundschule Malschwitz ist seit drei Wochen kaputt und die Kinder müssen bei 12 Grad im Klassenzimmer lernen. Meine Enkelin kommt jeden Tag durchgefroren nach Hause - das ist unzumutbar für die Gesundheit der Kinder.,Malschwitz,Gemeinde,Sachsen,55-64,male,citizen,LAND_13_BM,Mecklenburg-Vorpommern - Ministerium für Bildung,Land,235,38,False,True,False,False,22,6,19,3,1,1,True,False,False,False
ISS_20250613034132_6446,2023-03-20 03:18:00,Migration,Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits über 8 Monate ohne jede Rückmeldung. Meine Schwiegermutter wartet in der Türkei und braucht dringend medizinische Versorgung - bitte beschleunigen Sie das Verfahren.,Treuen,Stadt,Sachsen,45-54,female,citizen,LAND_12_SM,Brandenburg - Ministerium für Soziales,Land,239,31,False,False,False,False,3,0,20,12,3,1,False,False,False,False
ISS_20250613034012_6075,2025-01-19 07:32:00,Bildung,Die Computerausstattung an der Uni Köln ist eine Katastrophe - ständig stürzen die Rechner ab und das WLAN funktioniert nicht. Wie sollen wir so vernünftig studieren und uns auf Prüfungen vorbereiten?,Köln,Stadt,Nordrhein-Westfalen,18-24,male,citizen,LAND_15_BM,Sachsen-Anhalt - Ministerium für Bildung,Land,200,31,False,False,False,False,7,6,19,3,1,1,True,False,True,False
ISS_20250613034044_1005,2024-07-24 07:01:00,Sicherheit,"Die Straßenbeleuchtung an der Dorfstraße ist seit Wochen kaputt und abends sieht man nichts. Besonders für uns junge Leute, die spät nach Hause kommen, ist das echt gefährlich - man kann die Schlaglöcher nicht sehen.",Lüdersdorf,Gemeinde,Mecklenburg-Vorpommern,18-24,male,citizen,LAND_02_UM,Hamburg - Ministerium für Umwelt,Land,216,35,True,False,False,False,7,2,24,30,7,3,False,False,True,False
ISS_20250613034120_2141,2023-09-18 13:15:00,Verkehr,Die Bushaltestelle an der Kirchstraße hat kein Wartehäuschen und keine Bank. Bei schlechtem Wetter stehen wir älteren Leute im Regen und haben keine Sitzmöglichkeit. Das ist besonders für Gehbehinderte ein großes Problem beim Warten auf den Bus.,Ennigerloh,Stadt,Nordrhein-Westfalen,65+,diverse,citizen,LAND_11_VM,Berlin - Ministerium für Verkehr,Land,245,37,True,False,False,False,13,0,18,38,9,3,False,True,False,True
ISS_20250613034128_1945,2025-03-06 15:28:00,Sicherheit,"Die Straßenbeleuchtung am Radweg zwischen Bavenhausen und Lemgo ist seit Wochen kaputt. Abends ist es dort stockdunkel und als Radfahrer fühle ich mich sehr unsicher, besonders wenn Jugendliche dort rumhängen.",Kalletal,Gemeinde,Nordrhein-Westfalen,35-44,male,citizen,LAND_02_IM,Hamburg - Ministerium des Innern,Land,209,30,True,False,False,False,15,3,6,10,3,1,False,True,False,True
ISS_20250613034011_4615,2023-03-11 15:08:00,Sicherheit,"Der Fußweg entlang der Aarstraße ist abends völlig unbeleuchtet und die Straßenlaternen sind seit Monaten kaputt. Als Vater mache ich mir Sorgen um die Sicherheit meiner Familie, wenn wir dort abends spazieren gehen.",Taunusstein,Stadt,Hessen,35-44,male,citizen,LAND_16_UM,Thüringen - Ministerium für Umwelt,Land,216,33,True,False,False,False,15,5,11,10,3,1,True,True,False,True
ISS_20250613034127_9589,2023-11-03 10:50:00,Gesundheit,Der Hausarzt in Münzenberg nimmt seit Monaten keine neuen Patienten mehr auf und die Wartezeiten beim einzigen anderen Arzt betragen über drei Wochen. Für eine Stadt unserer Größe ist die medizinische Versorgung völlig unzureichend.,Münzenberg,Stadt,Hessen,35-44,male,citizen,LAND_03_GM,Niedersachsen - Ministerium für Gesundheit,Land,232,34,False,False,False,True,10,4,3,44,11,4,False,True,True,False
ISS_20250613033820_4386,2024-09-04 07:08:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - ständig Fehlermeldungen oder die Seite lädt gar nicht. Als ältere Person bin ich auf diese digitalen Dienste angewiesen, aber so ist das wirklich frustrierend.",Jüterbog,Stadt,Brandenburg,55-64,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,244,35,False,False,False,False,7,2,4,36,9,3,False,False,True,False
ISS_20250613034050_4146,2025-02-17 17:19:00,Verkehr,"Die Durchfahrt durch unser Dorf ist zur Rennstrecke geworden. Täglich rasen Autos mit 70-80 km/h durch die 30er-Zone, obwohl hier Kinder zur Schule gehen. Wir brauchen dringend Blitzer oder Temposchwellen, bevor ein Unfall passiert.",Lahn,Gemeinde,Niedersachsen,55-64,male,citizen,LAND_08_VM,Baden-Württemberg - Ministerium für Verkehr,Land,232,34,False,True,False,False,17,0,17,8,2,1,False,True,False,True
ISS_20250613034009_5446,2024-01-04 11:05:00,Sicherheit,Der Fußweg zwischen Bahnhof und Ortsmitte ist abends völlig unbeleuchtet und ich fühle mich als junge Frau sehr unsicher. Könnten Sie bitte mehr Straßenlaternen installieren oder die defekten reparieren?,Lahntal,Gemeinde,Hessen,18-24,female,citizen,LAND_10_UM,Saarland - Ministerium für Umwelt,Land,203,29,True,False,False,False,11,3,4,1,1,1,False,True,True,False
ISS_20250613034130_5554,2023-06-05 20:57:00,Verkehr,"Die Bushaltestelle am Marktplatz hat kein Wartehäuschen und bei Regen wird man komplett nass. Außerdem kommt der Bus morgens oft 10-15 Minuten zu spät, wodurch ich regelmäßig zu spät zur Arbeit komme.",Warin,Stadt,Mecklenburg-Vorpommern,18-24,male,citizen,LAND_02_VM,Hamburg - Ministerium für Verkehr,Land,200,32,True,False,False,False,20,0,5,23,6,2,False,False,False,False
ISS_20250613033730_5520,2023-05-28 14:23:00,Umwelt,"Die Mülltrennung in unserem Wohngebiet funktioniert nicht richtig - viele Nachbarn werfen alles in den Restmüll, weil die Tonnen oft überfüllt sind. Können Sie bitte mehr Container aufstellen oder öfter leeren lassen?",Pfeffenhausen,Gemeinde,Bayern,35-44,male,migrant_non_eu,LAND_16_MW,Thüringen - Ministerium für Wirtschaft,Land,217,32,False,False,True,False,14,6,28,21,5,2,True,True,False,True
ISS_20250613033815_2095,2024-10-23 21:18:00,Wirtschaft,Die Gewerbesteuer für kleine Betriebe in Eicklingen ist viel zu hoch im Vergleich zu den Nachbargemeinden. Dadurch wandern Unternehmen ab und wir verlieren Arbeitsplätze - das schadet unserer ganzen Region wirtschaftlich.,Eicklingen,Gemeinde,Niedersachsen,35-44,male,citizen,LAND_07_MW,Rheinland-Pfalz - Ministerium für Wirtschaft,Land,221,31,False,False,False,False,21,2,23,43,10,4,False,False,False,False
